id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,score<Avg. pub. year>
124,sheryl ledwidge,0.4392,-0.8027,2,5,5,1,2015
125,shlomo gilat,0.7089,0.6995,7,6,6,1,2013
126,simon marchant,-0.0506,0.3032,1,19,19,1,2024
127,siân roberts-holdridge,-0.2425,-0.442,2,8,13,2,2010.5
128,sofia olhede,-0.0622,-0.6242,2,14,26,4,2015
129,stephen bruehl,0.7043,-0.4736,3,9,9,1,2017
130,stewart boyd,-0.017,-0.4483,2,10,41,7,2010.5714
131,susannah walker,-0.2711,-0.2486,1,10,10,1,2018
132,tim bardouille,-0.1143,1.125,6,6,6,1,2022
133,vaneesha monk,-0.1403,0.1839,1,30,35,2,2021
134,vicki livingstone,-0.6119,0.5879,5,9,9,1,2019
135,vineta fellman,-0.7328,-0.7612,4,6,6,1,2008
136,xiaogang wang,-0.2163,-0.8905,2,8,8,1,2023
137,zoya bastany,-1.0873,0.0826,8,3,3,1,2021
