1,16,1
1,19,1
1,20,2
1,25,1
1,83,1
1,91,2
1,115,1
1,132,1
2,6,1
2,23,1
2,32,1
2,37,1
2,40,1
2,42,1
2,47,1
2,109,1
2,111,1
3,15,1
3,23,2
3,30,2
3,40,1
3,46,2
3,47,1
3,58,1
3,64,6
3,70,1
3,73,2
3,79,7
3,84,1
3,85,5
3,87,1
3,109,8
3,111,1
3,127,2
3,128,2
3,130,7
4,11,1
4,24,1
4,28,1
4,33,1
4,68,1
4,93,1
4,98,1
4,101,1
4,129,1
5,13,1
5,15,1
5,23,1
5,27,1
5,37,1
5,42,1
5,61,1
5,80,1
5,84,1
5,87,1
5,88,1
5,89,1
5,107,1
5,109,1
5,110,1
5,113,1
5,123,1
5,126,1
5,133,1
6,10,1
6,14,1
6,15,1
6,23,6
6,26,1
6,31,5
6,32,1
6,34,1
6,37,6
6,40,2
6,42,5
6,43,2
6,44,1
6,45,1
6,46,3
6,47,4
6,48,1
6,59,1
6,62,1
6,80,2
6,84,2
6,87,3
6,95,2
6,109,6
6,110,2
6,111,4
6,121,2
6,131,1
6,133,1
7,49,1
7,64,3
7,79,3
7,81,3
7,85,3
7,112,1
7,124,1
7,128,1
8,37,1
8,42,1
8,43,1
8,46,1
8,70,1
8,80,1
8,84,1
8,109,1
8,110,1
8,120,1
9,12,1
9,22,1
9,29,1
9,36,1
9,39,1
9,41,1
9,50,1
9,63,1
9,134,1
10,23,1
10,26,1
10,31,1
10,34,1
10,37,1
10,42,1
10,47,1
10,59,1
10,62,1
10,87,1
10,95,1
10,109,1
10,111,1
10,121,1
10,133,1
11,24,1
11,28,1
11,33,1
11,68,1
11,93,1
11,98,1
11,101,1
11,129,1
12,22,1
12,29,1
12,36,1
12,39,1
12,41,1
12,50,1
12,63,1
12,134,1
13,15,1
13,23,1
13,27,1
13,37,1
13,42,1
13,61,1
13,80,1
13,84,1
13,87,1
13,88,1
13,89,1
13,107,1
13,109,1
13,110,1
13,113,1
13,123,1
13,126,1
13,133,1
14,15,1
14,23,1
14,31,1
14,37,1
14,43,1
14,45,1
14,46,1
14,47,1
14,80,1
14,84,1
14,87,1
14,109,1
14,110,1
15,23,4
15,26,1
15,27,1
15,31,1
15,37,3
15,42,2
15,43,1
15,45,1
15,46,2
15,47,1
15,61,1
15,70,1
15,80,3
15,84,3
15,87,3
15,88,1
15,89,1
15,107,1
15,109,3
15,110,2
15,111,1
15,113,1
15,116,1
15,123,1
15,126,1
15,133,1
16,19,1
16,20,1
16,25,1
16,91,1
16,132,1
17,21,1
17,66,1
17,72,1
17,75,1
17,82,1
17,98,1
17,105,1
18,60,1
18,117,1
19,20,1
19,25,1
19,91,1
19,132,1
20,25,1
20,83,1
20,91,2
20,115,1
20,132,1
21,66,1
21,72,1
21,75,1
21,82,1
21,98,1
21,105,1
22,29,1
22,36,1
22,39,1
22,41,1
22,50,1
22,63,1
22,134,1
23,26,2
23,27,1
23,31,5
23,32,1
23,34,1
23,37,10
23,40,4
23,42,8
23,43,3
23,44,1
23,45,1
23,46,7
23,47,5
23,48,1
23,59,1
23,61,1
23,62,1
23,67,1
23,70,1
23,80,5
23,84,5
23,87,7
23,88,1
23,89,1
23,95,2
23,97,1
23,107,2
23,109,12
23,110,4
23,111,8
23,113,1
23,116,1
23,120,1
23,121,3
23,123,1
23,126,1
23,131,1
23,133,2
24,28,1
24,33,1
24,68,1
24,93,1
24,98,1
24,101,1
24,129,1
25,91,1
25,132,1
26,31,1
26,34,1
26,37,2
